time 50ms 40ms 30ms 20ms 2ms AVG_50ms AVG_40ms AVG_30ms AVG_20ms AVG_2ms
1 12890.59 14199.07 16143.5 39714.29 29873.11 128967.664133333 126573.680266667 150181.198 329594.320133333 202110.708133333
2 12890.35 14341.04 16255.8 39166.25 30727.3     
3 12890.5 14358.69 16356.21 38634.37 31845.54     
4 12897.49 14373.55 16410.11 38125.66 32546.7     
5 12876.18 14406.87 16593.22 37804.02 33431.27     
6 12876.22 14533.19 16529.37 36221.59 33946.6     
7 13031.9 14486.29 16648.4 41338.23 34456.59     
8 13060.94 14469.27 16620.03 41398.99 34799.15     
9 13160.41 14455.52 16702.14 41329.65 35134.35     
10 13387.4 14512.51 16739.08 41265.73 27738.01     
11 13559.21 14525.35 16702.19 41211.47 33882.77     
12 13750.73 14628.69 16720.73 41271.14 33119.82     
13 14103.04 14730.74 16659.53 41252.95 32546.47     
14 14391.33 14917.53 16720.78 41248.82 32098.67     
15 14775 15044.91 16821.47 41393.03 31872.92     
16 15095.37 15270.6 16875.23 41313.98 31754.86     
17 15427.68 15538.7 16976.31 41363.25 31681.59     
18 15011.51 15883.59 17123.62 41355.51 31691.1     
19 14095.52 16173.94 17211.64 41294.86 31718.26     
20 14086.85 16497.69 17506.3 41440.89 31718.42     
21 14483.91 16723.52 17677.73 41457.4 31591.32     
22 14616.57 16014.68 17849.68 41567.82 31744.78     
23 14742.58 16132.42 18140.28 41674.95 31419.2     
24 14776.7 16209.05 18278.81 41593.6 31372.66     
25 14852.64 16410.4 18344.06 41592.09 31017.56     
26 14887.06 16593.26 17858.56 41863.29 30664.23     
27 14918.2 16693.63 18768.03 41927.48 30160.27     
28 14916.81 16774.27 18955.94 41965.08 29551.83     
29 14887.34 16866.88 19190.45 41911.19 29043.74     
30 14900 16784.72 19106.79 39538.51 28501.73     
31 14870.2 16875.42 19275.36 37765.11 27778.59     
32 14933.89 16821.32 19296.92 40990.24 27102.92     
33 14921.23 16812.09 19318.93 41010.86 26488.72     
34 15010.43 16847.94 19279.18 41017.36 24147.02     
35 15048.96 16848.29 19295.29 40855.45 25716.59     
36 15155.42 16848.55 19276.61 40874.15 27285.81     
37 15286.69 16867.1 19273.23 40884.93 26393.32     
38 15427.7 16898.5 19362.53 40866.19 26046.55     
39 15636.55 16962.14 19252.34 40890.34 25595.85     
40 15848.8 16976.08 19211.49 40857.8 25345.05     
41 16082.76 17064.09 19254.11 40941.66 25276.84     
42 16191.83 17207.13 19190.18 40908.22 25146.51     
43 10957.99 17315.06 19232.69 40944.38 25185.06     
44 20648.91 17432.14 19169.36 41017.29 25055.92     
45 19868.97 17584.16 19232.5 41026.8 25254.07     
46 20580.41 17679.58 19190.72 41100.72 25183.76     
47 21254.12 16517.03 19232.91 41141.86 25310.53     
48 21716.69 14953.33 19212.02 41231.86 25306.73     
49 22123.28 15559.83 19275.39 41284.54 25311     
50 22442.14 15457.29 18390.13 41355.75 25315.21     
51 22760.36 15508.29 18165.1 41421.02 25239.01     
52 22951.8 15589.07 17548.89 41483.41 25247.2     
53 23106.56 15589.34 17677.95 41526.35 25127     
54 23179.76 15588.92 17634.4 41595.1 25020.46     
55 23143.28 15508.01 17670.95 33845.79 24829.36     
56 23043.93 15508.26 17622.63 37789.85 24616.69     
57 22988.73 15491.13 17620.22 35713.61 24514.1     
58 22747.85 15444.43 17506.58 35528.52 24264.09     
59 22391.26 15491.2 17594.72 35302.82 23866.85     
60 22020.97 15444.08 17590.23 35124.3 32570.2     
61 21586.15 15491.18 17510.08 34894.28 29330.5     
62 20953.96 15622.67 17459.78 34673.55 28533.5     
63 20377.7 15667.49 17466.75 34632.31 27897.06     
64 19530.78 15700.08 17418.57 34472.34 27504.6     
65 18680.57 15891.63 17550.37 34409.33 27191.16     
