Time(s) 0ms(Kbps) 10ms 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps AVG_0 10 20 30 40 50 100
1 908065.6 913070.1 924811.8 930047.8 809267.2 648936.5 325715.8 907723.083946488 918592.211705685 923956.608026756 929646.45083612 812268.772240803 650521.392976589 325634.813043478
72 911956.6 924822.3 931377.7 932231.2 813827.6 651514.2 325745       
73 909878.2 918188.1 926361.3 930195.7 814508 650995.1 325559.8       
74 908957.6 917650.7 930455.5 932998.7 811307.9 651425 325745.6       
75 904357.3 920193.7 925847.7 930439.7 813290.1 651418.1 326205.2       
76 918616.4 915298.6 929751.8 926362.2 812580.9 651633.2 325717.6       
77 904994.5 916642 925209.3 932487.8 812522.9 651505.5 325728.9       
78 903830.3 920137.6 923274.2 922791.9 814370.2 651503.7 325702       
79 917596.4 915436.6 927798.4 918388.1 812861.5 651541.8 325749.9       
80 905962.8 912542 929760.8 929938.2 814813 651566.1 325774.1       
81 906998 916659.4 923733.3 931997.4 811491.7 650294.6 325756       
82 911973 919899.7 898634.4 927046.5 814296.2 649168.3 325750.1       
83 907986 917329.1 901904.6 925808.9 810863.9 652057.6 325785.5       
84 907061.6 916819.8 921249.3 931973.2 813213.2 650166.2 325887.2       
85 905065.1 924260.7 894772.2 932476.6 813851.4 650476.8 325717.1       
86 912834.7 914565.4 896051.7 930456.5 813151 650971.8 325696.8       
87 905941.1 916702.5 930326.4 927423.8 811724 650342.6 325741.9       
88 909013 922031.8 928365.7 932495.3 810763.2 648918.5 325713.7       
89 915067.6 915207.4 920210.2 929945.6 810306.3 651680.4 325709.9       
90 904974.7 914079.8 926837.9 929785.2 808917.1 650979.9 325719.5       
91 906869.4 918223.6 923357.2 931974.2 811661.5 651566.2 326134.4       
92 914117.3 919711.3 924247.4 929633.5 814570.7 648883.1 325817.5       
93 907236.6 918333.1 925296.2 930258.5 812454.2 651119.8 325738.7       
94 901931.6 913658.5 927334.8 930397 811107.6 651035.5 325726.9       
95 909590.1 923747.2 922689.6 930235.7 750316.5 652099.6 325740.3       
96 916706.6 916653 926531.6 927283.9 808770.1 651012.5 325763.5       
97 908998.5 919872.2 934670.2 931378.6 807782.3 648972 325757.9       
98 909023.4 919961.3 925333.2 931394.5 812799.2 651537.6 325878.3       
99 913042.8 913080.1 919143.6 932451.5 815924 649293 326136.4       
100 901899.2 917643.4 923251.1 930436 809859.1 651020.4 325744.3       
101 902978.5 915567.4 919885 931963.9 816920.2 647975.2 326011.7       
102 848935.5 920201 922206.5 932640.6 802184 651261.9 325709.8       
103 876451.4 919189.6 926447.4 931941.6 816450 651080.8 326260.1       
104 888577.6 919735.3 922672.1 929954.9 811748.9 649605.9 325715.6       
105 906340.5 925087.5 920652.1 930419.3 809279.7 648608.1 325725       
106 909470.2 918654 926874 930252.2 811297.3 649432.9 325732.8       
107 906941.9 916119.3 923715.8 921791.5 816294.2 650068.3 325749.4       
108 906953.6 924783.5 931914.6 932223.7 812422.1 651456.5 325750.4       
109 917702.1 917594.8 928984.2 931440 811340.3 645379.8 325725.9       
110 906902.9 915562.8 929978.1 928182.2 813661.3 645229.4 325725.3       
111 901443.3 921775 922310 931385.2 812673.9 648462.9 325993.5       
112 913547.1 917560 925938.3 930766.8 814704.8 652000 326236       
113 907992.3 916586.1 930842.7 926279.9 810780 651704.1 325714.8       
114 904968.4 915152.2 928324 929460.7 816008.7 650648.7 326366.6       
115 914175.7 919639.7 925795.9 930464.8 813452.4 651516.4 325756.7       
