Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
102 353123.2 198495.2 169362.1 154227.4 128505.4 49974.12
103 183566.8 272876.3 119315.2 115129.8 107738.7 52135.4
104 370247.3 150410.2 104050.5 113118.6 71299.7 48802.08
105 362095.2 172061.4 179940.6 106777.3 113324.7 59851.3
106 313208.1 206118.3 141610.1 192975 145284.1 66129.33
107 338949 186270.2 129340.5 98683.63 128026.6 66132.63
108 379784.8 153458.8 126229.7 143959.3 77193.32 76729.93
109 328116.9 153957.7 142541.7 140305.8 123557.4 48279.31
110 358492.2 171854.8 154985.2 158601.5 127591.4 52875.66
111 220227.5 197340 110137.4 160280.2 125820.2 51826.84
112 281865.1 197182.4 133385.4 155512 110905.3 48138.78
113 364894.9 192499 84448.33 137810.3 102645 59312.89
114 302305 162292.1 158682.3 140659.4 134824.3 82548.85
115 306547.6 215395 104719.3 100259.5 91263.57 58914.76
116 222051.5 166037.8 161913 116798.5 108605.3 59410.43
117 324970.4 238261.6 144577.5 224580.4 115253.8 49710.63
118 251866.4 165079.9 122907.2 126797.1 129781.7 45966.68
119 327809.5 133431.8 66973.79 154823.2 94498.55 49484.44
120 341310.3 195970.3 131817.7 120737.2 119352.2 50608.58
121 329473 193769.4 161592.6 118901.6 91270.48 62715.16
122 395267.6 199154.7 97869.58 94935.44 122592.3 80527.55
123 400214.1 193620.1 147229.3 127749.5 86097.74 52289.25
124 280008.3 139224.2 159176.3 145833.4 129907.1 58491.48
125 278805.4 108958.8 118704 157271.6 128034.8 54973.81
126 274205.5 195403.7 92455.66 140955.4 79807.52 46025.27
127 327754.4 162717.4 188836.7 141442.7 87154.91 49805.87
128 303405.6 151060.3 113372.3 151827.1 111199.8 49127.24
129 283668.6 178260.8 119628.1 133712 126950.8 73844.14
130 338426.3 201969.2 141317.2 154328.1 97482.43 52826.59
131 264118.3 175971.3 133009.4 148086.4 128845.5 49788
132 290156.5 124609.2 130832.5 101428.4 71032.46 44678.9
133 434947.8 205179.7 157544.2 156168.1 151812.7 58119.36
134 329811.5 140555.5 138868.5 141456.3 102323.8 58404.25
135 242836.9 199932.7 143077.8 146235.2 88037.85 88960.19
136 305671.5 182293.2 121256.6 134393.5 122776.3 60353.11
137 477969.1 47571.25 155998.8 142214.8 151255.8 49997.74
138 225704.7 176485.2 174702.9 154784.8 116377.9 48719.39
139 303627.4 201510.8 131327 122326.3 110346 50332.01
140 425218.2 150108.5 112832.4 159476.6 89705.35 54948.92
141 337836.1 162623.7 163856.1 113401.4 129769.4 54925.42
142 278232.1 154751.7 146911.7 161009.4 118860.7 65842.84
143 359652.8 191562.3 156917.9 142238.9 87018.34 62646.92
144 89136.96 207067.8 126370.1 124120.7 89693.29 60716.58
145 318339.6 183259.3 142221.2 157801.6 120065.6 72877.73
146 271920.3 205816.8 137419.7 142429.8 54851.19 57274.85
147 337659.9 196956.5 135053 152907 115201.8 62632.44
148 413185.3 136206.7 146167.8 147605.9 109829 48195.09
149 343799.6 148163.2 159809.3 129418 99929.84 49358.82
150 191026.4 241838 118866.5 178902.5 108013.9 76582.44
151 356982.5 151662.4 143895.4 97100.83 114123 54952.31
152 368236.3 193630.6 149704.1 141325.3 84317.25 62003.03
153 288844.6 194041.4 68183.29 102597.5 117869.3 64408.74
154 355911 192410 183677.9 157641.8 96983.9 62519.96
155 242886.6 194543 96348.87 135929.1 125968.1 68366.28
156 322361.1 165440.8 131892.7 129108.8 106019.4 54757.1
157 194201.2 129577.9 162861.5 122150.7 105156.3 46079.37
158 403694.8 167741.1 132322.6 152564.1 94596.31 60759.44
159 329871 197376.7 158896.3 181456 120704.7 58142.41
160 294581.7 193943.3 136158.1 134689.6 114137.9 57577.85
161 309172 137358.5 156707.5 145211.7 71066.28 39078.38
162 301101.1 231992.8 122185.3 167473.6 113844.3 62021.7
163 290648.1 187930.9 175609.3 96627.59 122144.4 63634.65
164 263201.6 180192.2 90200.96 146874.3 98084.19 58099.96
165 403017.6 158002.5 128023.7 177929.9 129643.4 47037.3
166 375474.2 211414.6 171317.5 115691 129657.8 55677.06
167 300212 194210.1 102865.3 138210 114889.5 58173.83
168 255748.4 152543.4 161817.4 153692.6 123812.5 59696.29
169 413614.5 192796.9 141540.6 150619.8 122529.6 83873.84
170 378177.2 197004.8 135513.9 120622.1 123206.1 52305.16
171 273409.2 110180.5 84398.4 171900.6 104366.4 56896.48
172 219824.8 174941.1 181712.9 92181.2 70726.06 44329.98
173 293364.2 198282.2 129871.4 142045.2 123058 46278.84
174 285106.6 199252.3 175185.9 131431.3 128409.2 58724.18
175 268529.2 193038.8 142409.6 142980.6 117950.6 70611.08
176 223610.8 193739.4 126941.3 163120.9 147810.3 44243.55
177 239357.9 197089.8 146727.6 131319.6 80486.18 55969.3
178 402164.2 185536.9 118515.1 118008.7 131803.3 55716.79
179 300703.8 177270.5 183890.4 179741.7 83393.24 59814.32
180 365983.5 168001.3 138258.6 90993.82 106088 50803.71
181 293658.2 120863.1 115978.7 138964.3 101913.3 62387.68
182 187304.3 164085.7 155862.7 200729.6 130228.3 64766.28
183 319471.8 190697.8 141942.4 88728.82 127675.3 46310.6
184 371519.8 197700.6 170030.8 129102.1 112222.1 46290.2
185 385755.6 202972.5 127430.3 131306.3 85670.05 58494.66
186 323262.6 201276.5 133922.2 140159.8 105818.2 57905.55
187 183967.7 222806.9 121460.8 120389.4 126971.5 67128.34
188 338256.8 191771.7 126916.4 129230.5 128791.4 73489.26
189 310512.2 168394.3 184704.8 123585.2 87694.8 58269.18
190 262067.5 200361.1 93151.53 142520.2 127100.3 44400.03
191 261913.7 198326.5 197930.9 141649.4 56697.17 45557.05
192 307409 198544.3 116673.1 152867.6 117353.4 57287.9
193 336413.9 197997 131654.5 136011.2 123053.5 63284.68
194 334519.1 197397.1 164961.8 140650.5 92541.11 77447.57
195 88897.18 180764.5 97455.98 95622.6 114915.1 72927.96
196 404928.6 191252.5 132844.1 146687.7 111185 52264.64
197 368221.9 199251.3 160925.4 130934.6 70283.73 47886.73
198 262359.3 167833.6 144509.2 138960.1 114931.1 44906.74
199 321182.7 125249 101160.1 146010.3 143125.1 61874.46
200 313654.1 224074 141371.9 98120.1 83089.6 88991.21
201 153714.7 159775.9 138922.3 119341.2 127668.1 55400.18
202 295609.6 188110.1 126682.6 170607.5 122027.3 56150.1
203 299453.1 194326.2 138195.8 122882.8 101706.1 44515.2
204 310899 194874.8 137443.8 94136.55 92524.95 46321.26
205 364748.2 195778.4 102587.8 131150.2 128075.7 48662.62
206 381919.9 197552 144576.2 178988.4 127708.6 84108.89
207 287798.3 191341.1 120261.8 180546.3 78162.11 43873.2
208 257677.3 192735.4 128897 148442.4 95540.83 56668.54
209 382762 283962.4 149361.1 196294.8 108835.3 57373.69
210 450668.3 210975.2 162401.4 138420.4 127412.9 60828.1
211 269401.2 153995 132986.6 214849 95222.48 53183.21
212 316732.6 140163.1 119053.5 111650.6 83723.78 63916.65
213 531855.6 182802.2 143811.3 112947 149303.7 69343.96
214 262392.6 192790.8 150811.3 91344.71 96806.9 44615.37
215 263280.9 198896.2 137052.3 87099.67 85406.54 43029.25
216 363299 223919.3 124577.3 156082.7 104988.4 61723.28
217 286305.6 164438.6 142406.8 117443.8 133376.3 62953.48
218 284106.2 190964.6 162840 103316 128150.4 61287.83
219 432925 201730.9 146151.2 122617.5 100020.4 76604.15
220 346264.7 193364.6 142241.3 116085.2 95004.75 50906.47
221 310489.7 196237.7 112045.4 156277.9 110548.9 60010
222 305042.5 155987.7 151319.4 154602.1 131016 50459.77
223 342263.4 169330.9 145287.1 160107.4 123929 54904.73
224 346357.4 165015.7 157415.6 155420.8 79784.45 80211.37
225 269928.1 194625.4 144973.6 152713 103850 58343.19
226 278933.7 164923.8 118372.8 110459.7 79366.99 66814.99
227 371528.3 197286.7 138025.4 110892.2 118444.9 77127.08
228 469693.2 173903.7 146168.8 95843.59 115553 45931.45
229 298549.7 147850 122254.2 156654.1 117131.7 59796.15
230 432794.7 176976.4 92313.51 159778.8 132169.2 61560.85
231 258186.1 198443.9 190670.1 98505.01 78840.06 46684.88
232 289621.4 201038.9 130332.1 154619.6 108949.1 60915.47
233 267144.7 190068.4 111911.2 168327.8 117701.7 73724.56
234 388112.8 192834.3 149020.5 105672.6 123727.3 54967.22
235 345532.8 198296.1 163457.6 137975.6 127372.1 59256.8
236 394505.9 191449.8 128495.3 192451.5 111671.7 59815.55
237 320413.5 213234.6 121376.4 94598 69385.17 55806.67
238 182581.5 163360 166209.2 145231.4 128530.2 50330.9
239 301854.4 197822.1 141133 140188.6 121630.4 54640.57
240 424193 193277.7 119282.2 136190.9 125696.8 58780.28
241 273686.8 189205.8 132742.9 113732.8 110869.8 83054.51
242 309320.5 194060.8 142634.9 133017.5 106111 62272.48
243 462307.1 193424.2 158894.5 155220.5 92273.98 56551.29
244 292227.2 169423.9 116565.3 152089.3 106048.5 46705.49
245 301305.3 120866.7 120380.6 136098.4 123031.1 49220.14
246 293504.4 180240.7 189205.7 177696.3 70670.71 49704.6
247 325476.1 204056 115177.2 91260.85 114983.4 61832.07
248 248861.4 220195.1 98981.69 119474.7 97480.12 85623.88
249 286939.7 224846.8 184560.3 119965.5 143215.9 59957.29
250 372579.8 159755.2 124463.9 163947.9 121193.3 56738.62
251 339681.9 230847.5 153201.3 106622.3 116041.8 45348.78
252 321951 112333.7 143874.1 152208.2 75409.86 53376.52
253 226318.2 163809.1 116291.2 115982.7 113160.5 50404.32
254 311982.2 213423.6 141012.7 146230.3 126528.2 54970.87
255 262676.7 176318.6 138756.6 125988.8 130725.2 69413.67
256 372297.2 264806.2 141028.2 133365.6 126005.7 60628.48
257 219755 195429.7 112670.2 119363.7 104839.1 64128.54
258 404181.7 165977 174895.7 156793.7 100150.7 50180.58
259 427607.7 190060.4 195147.2 130034.9 124472.3 59862.93
260 296882.7 148569 105803.5 147868.8 105488.5 50913.81
261 300164.4 173087.5 136456.6 159825.7 103148 54883.9
262 347180 194748.9 161530.1 120417.6 119348 65881.96
263 260326.7 201584.2 134743.3 170655.6 95328.28 56253.27
264 220721.8 128459 134798.2 112924 102811.7 62317.9
265 275388.4 145927.4 118259.9 156651.2 94424.19 57380.15
266 269010.8 195899.4 168191.4 138089.5 109269.7 50837.21
267 205185.2 197887.1 96942.76 150442.3 127528.8 56869.86
268 295982.8 194751.4 123189.4 142807.1 123844.7 65330.26
269 412309.9 197558.4 177275.4 137206.4 101522.7 53302.53
270 314390.9 168878.1 155482.1 156332 99025.9 43918.22
271 264039.8 183309.7 120049.2 150056.2 100894.3 53381.18
272 323659.3 100990.2 116824.8 107059.1 128431.7 80402.59
273 286058.4 188379.6 155711.5 125961.8 121710.8 80614.6
