Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
100 9552.66 5770.13 2280.58 1457.95 1784.5 833.37
101 8733.77 5160.77 2800.26 1598.08 1584.38 959.45
102 8303.53 4465.73 2581.03 2407.73 1665 1086.84
103 7082.48 5517.16 3133.57 2672.57 1723.42 1237.32
104 6629.88 4373.01 3540.79 2614.75 2138.64 1156.8
105 8056.72 4729.93 2279.83 3144.51 2728.66 1110.26
106 6681.79 4176.75 2579.54 3618.99 2972.97 971.74
107 6339.67 4949.6 2326.26 2488.43 2232.17 682.5
108 11020.61 4371.85 2303.24 2417.56 2197.98 670.62
109 12101.34 2694.45 2186.5 3017.87 2416.58 866.85
110 6492.63 4118.76 3053.07 2361.19 2245.55 1017.44
111 6019.76 4799.09 3342.31 1240.65 1817.71 1191.15
112 6951.34 5890.04 3852.04 1204.69 1828.74 1607.43
113 7288.77 4130.08 1913.03 1525.63 1909.15 2600.12
114 13705.83 4094.19 1345 1655.56 1460.48 2570.73
115 6570.93 2962.79 1214.54 1573.39 1826.76 2141
116 5196.97 2406.29 2729.97 1977.01 1643.9 2358.51
117 6863.45 4062.01 2914.8 1931.9 1204.28 2346.78
118 5362.32 3131.93 3238.2 1620.21 1331.11 1730.27
119 6895.7 3873.33 2743.59 2462.25 1077.07 1423.1
120 10907.75 6704.79 2707.64 3330.64 1282.88 1587.2
121 7751.05 5610.67 3920.25 2489.32 1815.81 1653.08
122 6724.94 7318.78 4995.7 2013.97 1735.4 1711.85
123 8514.97 6836.36 3146.59 2718.73 1192.4 1377.56
124 7267.27 3968.8 2153.31 3712.3 1147.05 1804.24
125 4790.97 4569.65 2106.52 4291.3 1134.84 1907.95
126 7276.18 3008.08 2904.15 4219.38 1133.95 1885.02
127 13380.96 2347.76 2580.7 4220.97 1273.1 1907.56
128 8782.03 3460.2 3389.94 4278.43 1561.03 2162.39
129 6181.99 2488.94 2625.4 1829.71 1516.73 2406.21
130 6826.12 2488.41 2893.58 1804.5 1839.01 1427.27
131 9139.58 3978.03 2107.72 1470.65 2439.9 961.5
132 7796.08 3563.54 2754.43 1909.21 2879.67 728.82
133 7150.02 4823.83 2512.37 1713.08 2716.54 728.24
134 5603.57 4350.4 2174.88 1445.53 2279.71 866.02
135 7143.97 6277.43 2614.36 1422.93 1584.78 936.71
136 9415.59 7493.45 4034.44 2209.09 1586.22 867.52
137 6304.31 4015.06 2606.77 1551.22 1076.94 1063.62
138 8094.87 3607.83 2890.24 1459.89 928.8 1063.73
139 8895.45 3575.38 2617.01 1838.4 1364.56 1201.94
140 7959.85 2869.4 2522.46 2728.35 1977.7 1202.77
141 8075.51 4625.28 3241.24 3491.49 2462.41 1098.44
142 4492.43 6694.31 4023.15 3033.82 2742.74 1318.61
143 7058.3 5564.19 3100.68 2243.49 2151.81 1353.74
144 11601.21 3610.7 2799.77 2624.51 2197.97 1387.2
145 7844.94 4569.84 3099.22 1841.06 1620.44 1193.65
146 7185.23 6001.4 3204.79 2082.79 1770.24 821.71
147 14411.09 4558.9 3121.91 2972.67 1943.41 913.45
148 15436.74 5283.81 4220.94 3665.46 1953.54 1040.6
149 9141.28 5076.7 3077.06 2362.52 2254.98 913.58
150 7969.61 3612.42 2348.87 3238.3 1930.9 902.46
151 8398.84 3331.69 1749.67 2245.3 2024.53 822.83
152 5948 4256.38 1932.77 1920.1 1884.99 844.82
153 5776.65 4637.91 2475.21 2302.6 1965.62 683.57
154 6628.54 2469.23 1784.41 1805.25 2566.96 913.47
155 7427.29 3149.71 2013.58 1169.81 3205.92 924.96
156 7647.14 5748.4 2175.36 1469.14 2631.5 994.37
157 7741.63 4939.84 2164.52 1757.22 2196.56 1201.79
158 8777.78 3485.21 3215.87 2820.92 1517.03 1422.19
159 11234.76 2627.71 1632.1 1955.44 1688.15 2289.76
160 6560.64 2662.43 1899.03 2566.18 1551.07 2894.02
161 9543.46 3284.02 1712.37 2189.06 1560.64 3063.14
162 9489.23 5673.25 2939.13 2520.26 1900.36 2582.94
163 9381.98 3862.77 3456.78 2674.56 1988.42 2038.22
164 4771.07 2837.37 3010.35 2430.01 2450.37 1852.02
165 7959.76 2742.93 2625.81 2831.95 2755.56 2034.52
166 7441.29 3277.53 4209.6 3030.93 2601.13 1816.89
167 7266.3 4398.38 3679.45 2312.79 2405.92 2103.83
168 8850.32 3194.7 2116.78 2890.49 2705.39 2242.91
169 6200.53 2790.84 2015.24 2947.69 2625.44 2185.08
170 4991.09 1969.04 1851.81 2569.13 2452.62 2242.52
171 6099.38 4416.75 2036.71 2948.55 2337.23 2439.16
172 8575.19 1948.61 2567.82 2637.37 1701.49 1715.74
173 9071.01 4438.89 2902.53 2534.65 2139.68 1526.15
174 12264.62 6107.86 2510.65 2094.06 1806.3 1446.92
175 9439.2 4429.77 2510.21 2579.9 1595.62 1250.04
176 11742.33 5764.12 1438.94 2809.13 1238.39 1514.69
177 8433.05 6571.32 1505.29 2615.17 1492.14 1249.55
178 7661.59 3163.28 2453.22 1909.78 2104.22 1537.68
179 8733.75 2441.38 1589.43 2600.91 2035.77 1237.61
180 8988.24 3359.41 1586.8 3368.36 2462.64 937.75
181 7733.89 3899.07 2904.41 2290.78 2947.95 694.95
182 9773.88 3274.77 2429.63 1886.67 3145.94 798.02
183 9056.83 2015.1 2463.41 2348.4 2061.47 809.73
184 7569.55 3840.62 3354.35 2514.88 1826.88 901.69
185 11078.9 4445.04 3122.65 2407.99 1931.1 1040.33
186 10323.81 3970.3 2685.99 1390.62 2024.25 1202.08
187 7854.22 4868.88 1957.07 2014.04 1183.42 1745.91
188 6929.58 3218.25 2902.9 2105.42 1203.81 2303.12
189 7151 3654.79 3251.81 2316.01 1018.33 2427.94
190 9798.82 4099.57 3041.66 2728.07 1422.49 1668.47
191 6572.15 6198.07 2834.8 3168.88 1955.36 1560.53
192 7659.67 4410.22 2209.23 3445.68 2531.89 1319.31
193 7835.34 4128.36 3122.21 3344.06 2730.14 1630.36
194 7589.3 5157.5 2754.16 2682.14 2175.88 1538.78
