  Time         h1-eth0      
HH:MM:SS   Kbps in  Kbps out
09:47:40    106.32      0.97
09:47:41    166.32      4.85
09:47:42    165.38      0.00
09:47:43     47.25      2.25
09:47:44    227.33      8.52
09:47:45    276.74      2.12
09:47:46    154.53      4.07
09:47:47    142.72      4.81
09:47:48    180.09      6.96
09:47:49    250.96      8.43
09:47:50    425.48     14.60
09:47:51    272.65      3.70
09:47:52    155.50      7.21
09:47:53    189.46      2.64
09:47:54    246.86      5.93
09:47:55    201.78      3.40
09:47:56    190.44      2.89
09:47:57    190.45      9.49
09:47:58    308.36     14.58
09:47:59    226.35      5.77
09:48:00    405.01     11.92
09:48:01    349.07      4.87
09:48:02    149.94      0.48
09:48:03    173.57      0.48
09:48:04    285.92     12.23
09:48:05    238.17      9.19
09:48:06    178.15      4.06
09:48:07    185.38      0.81
09:48:08     94.99      2.73
09:48:09    189.98      5.65
09:48:10    141.75      0.33
09:48:11     47.25      0.33
09:48:12    118.12      0.33
09:48:13    129.94      0.33
09:48:14    121.34     14.73
09:48:15    131.38      5.29
09:48:16     94.50      0.51
09:48:17    106.33      0.48
09:48:18     83.50      1.61
09:48:19     71.36      2.40
09:48:20      0.00      1.76
09:48:21      0.33      2.09
09:48:22    296.38      7.60
09:48:23    119.09      3.21
09:48:24    118.61      1.28
09:48:25     95.47      3.56
09:48:26    120.05      4.96
09:48:27    168.77      8.65
09:48:28     94.50      1.00
09:48:29     94.50      1.64
09:48:30     94.98      2.89
09:48:31     47.73      2.09
09:48:32     80.03      3.04
09:48:33     95.95      4.84
09:48:34    143.69      8.68
09:48:35    189.48      4.81
09:48:36    177.67      2.25
09:48:37     70.87      0.48
09:48:38    179.59      8.49
09:48:39    152.36      6.48
09:48:40    106.31      0.97
09:48:41    118.13      0.48
09:48:42    132.84      7.55
09:48:43    154.53      2.57
09:48:44    169.23      6.73
09:48:45    119.09      2.89
09:48:46    102.69      0.51
09:48:47     90.88      0.48
09:48:48     90.88      0.00
09:48:49     71.84      2.40
09:48:50    131.87      6.76
09:48:51    119.09      6.12
09:48:52    157.43      7.40
09:48:53    155.02      4.34
09:48:54    131.45      5.13
09:48:55     90.88      0.84
09:48:56    103.02      0.33
09:48:57     90.88      0.48
09:48:58     59.06      1.12
09:48:59     60.51      5.48
09:49:00     94.50      2.09
